_id,id,ags2,bundesland,ags5,kreis,kr_schu_kom,kr_sk,kr_us_ew
1,1,01,Schleswig-Holstein,01001,"Flensburg, Stadt",1282.4,767.3,78.1
2,2,01,Schleswig-Holstein,01002,"Kiel, Landeshauptstadt",2269.4,755.3,87.5
3,3,01,Schleswig-Holstein,01003,"Lübeck, Hansestadt",3039.8,724.8,80.8
4,4,01,Schleswig-Holstein,01004,"Neumünster, Stadt",1650.6,775.4,73.8
5,5,01,Schleswig-Holstein,01051,Dithmarschen,1831.6,824.7,46.8
6,6,01,Schleswig-Holstein,01053,Herzogtum Lauenburg,1251.8,791.1,36.0
7,7,01,Schleswig-Holstein,01054,Nordfriesland,2433.1,896.3,54.4
8,8,01,Schleswig-Holstein,01055,Ostholstein,1114.9,762.6,42.0
9,9,01,Schleswig-Holstein,01056,Pinneberg,1820.7,1054.6,49.7
10,10,01,Schleswig-Holstein,01057,Plön,1560.1,709.4,29.3
11,11,01,Schleswig-Holstein,01058,Rendsburg-Eckernförde,1233.2,772.1,38.9
12,12,01,Schleswig-Holstein,01059,Schleswig-Flensburg,1499.6,706.4,35.6
13,13,01,Schleswig-Holstein,01060,Segeberg,1434.1,920.9,56.7
14,14,01,Schleswig-Holstein,01061,Steinburg,1363.4,771.3,54.3
15,15,01,Schleswig-Holstein,01062,Stormarn,637.9,1071.5,61.2
16,16,02,Hamburg,02000,Hamburg,0.0,1369.2,127.9
17,17,03,Niedersachsen,03101,Braunschweig,226.1,994.2,100.0
18,18,03,Niedersachsen,03102,Salzgitter,3507.3,767.6,104.1
19,19,03,Niedersachsen,03103,Wolfsburg,853.0,1394.1,184.6
20,20,03,Niedersachsen,03151,Gifhorn,780.7,722.2,34.4
21,21,03,Niedersachsen,03153,Goslar,1030.1,638.6,50.7
22,22,03,Niedersachsen,03154,Helmstedt,2865.9,670.2,38.2
23,23,03,Niedersachsen,03155,Northeim,1653.4,719.4,56.8
24,24,03,Niedersachsen,03157,Peine,1538.3,679.0,40.0
25,25,03,Niedersachsen,03158,Wolfenbüttel,1591.4,757.6,36.5
26,26,03,Niedersachsen,03159,Göttingen,1206.3,742.1,63.6
27,27,03,Niedersachsen,03241,Hannover,2701.9,971.3,92.6
28,28,03,Niedersachsen,03251,Diepholz,665.6,866.0,56.2
29,29,03,Niedersachsen,03252,Hameln-Pyrmont,1695.3,671.2,68.8
30,30,03,Niedersachsen,03254,Hildesheim,1840.6,720.9,56.8
31,31,03,Niedersachsen,03255,Holzminden,1706.8,785.7,55.7
32,32,03,Niedersachsen,03256,Nienburg/Weser,1452.9,728.7,50.2
33,33,03,Niedersachsen,03257,Schaumburg,2022.7,663.5,43.2
34,34,03,Niedersachsen,03351,Celle,2929.1,689.3,50.4
35,35,03,Niedersachsen,03352,Cuxhaven,1745.5,654.2,32.9
36,36,03,Niedersachsen,03353,Harburg,862.4,880.2,34.7
37,37,03,Niedersachsen,03354,Lüchow-Dannenberg,1975.4,583.0,43.4
38,38,03,Niedersachsen,03355,Lüneburg,2427.4,742.8,44.3
39,39,03,Niedersachsen,03356,Osterholz,2605.8,722.5,33.9
40,40,03,Niedersachsen,03357,Rotenburg (Wümme),1094.4,740.6,47.9
41,41,03,Niedersachsen,03358,Heidekreis,1410.1,672.8,49.0
42,42,03,Niedersachsen,03359,Stade,1006.6,804.2,53.6
43,43,03,Niedersachsen,03360,Uelzen,1213.3,668.8,50.9
44,44,03,Niedersachsen,03361,Verden,630.7,892.6,63.0
45,45,03,Niedersachsen,03401,Delmenhorst,1151.9,576.8,45.0
46,46,03,Niedersachsen,03402,Emden,1843.7,984.5,134.7
47,47,03,Niedersachsen,03403,Oldenburg,402.6,890.2,83.5
48,48,03,Niedersachsen,03404,Osnabrück,1896.8,849.7,101.9
49,49,03,Niedersachsen,03405,Wilhelmshaven,519.6,691.6,65.2
50,50,03,Niedersachsen,03451,Ammerland,583.4,754.2,45.8
51,51,03,Niedersachsen,03452,Aurich,1946.0,692.6,50.1
52,52,03,Niedersachsen,03453,Cloppenburg,871.3,719.9,53.4
53,53,03,Niedersachsen,03454,Emsland,624.1,759.4,62.0
54,54,03,Niedersachsen,03455,Friesland,1163.1,669.8,41.7
55,55,03,Niedersachsen,03456,Grafschaft Bentheim,1155.4,711.8,51.7
56,56,03,Niedersachsen,03457,Leer,1221.8,638.6,38.4
57,57,03,Niedersachsen,03458,Oldenburg,444.0,765.9,44.2
58,58,03,Niedersachsen,03459,Osnabrück,1107.6,748.1,54.7
59,59,03,Niedersachsen,03460,Vechta,454.8,929.8,68.3
60,60,03,Niedersachsen,03461,Wesermarsch,2450.5,866.3,69.0
61,61,03,Niedersachsen,03462,Wittmund,1013.0,661.5,43.0
62,62,04,Bremen,04011,Bremen,0.0,943.8,99.9
63,63,04,Bremen,04012,Bremerhaven,0.0,663.8,75.2
64,64,05,Nordrhein-Westfalen,05111,Düsseldorf,122.3,1487.3,172.6
